시도교육청코드,행정표준코드,학교명,도로명주소,홈페이지주소
B10,7134125,광진중학교,서울특별시 광진구 뚝섬로64길 45,http://gwangjin.sen.ms.kr
B10,7134126,광희중학교,서울특별시 성동구 독서당로62길 46,http://kwanghee.sen.ms.kr
B10,7010575,교남학교,서울특별시 강서구 까치산로22길 38,http://kyonam.sen.sc.kr
B10,7010068,구로고등학교,서울특별시 구로구 가마산로27길 45,http://guro.sen.hs.kr
B10,7041169,구로중학교,서울특별시 구로구 구로중앙로 48,http://guro.sen.ms.kr
B10,7091423,구룡중학교,서울특별시 강남구 선릉로 103,http://gury.sen.ms.kr/
B10,7031181,구산중학교,서울특별시 은평구 갈현로15길 20-23,http://gusanjung.sen.ms.kr
B10,7011111,구암고등학교,서울특별시 관악구 성현로 57,http://guahm.sen.hs.kr
B10,7132127,구암중학교,서울특별시 관악구 성현로 53,http://guahm.sen.ms.kr/
B10,7134127,구의중학교,서울특별시 광진구 광나루로30길 80,http://guui.sen.ms.kr
B10,7010069,구일고등학교,서울특별시 구로구 구일로 90-51,http://guil.sen.hs.kr
B10,7041170,구일중학교,서울특별시 구로구 구일로 90-133,http://kuil.sen.ms.kr
B10,7010827,구현고등학교,서울특별시 구로구 경인로53가길 17,http://guhyun.sen.hs.kr
B10,1371661,국립국악고등학교,서울특별시 강남구 개포로22길 65,http://gugak.sen.hs.kr
B10,1371662,국립국악중학교,서울특별시 강남구 개포로22길 65,http://gugak.sen.ms.kr
B10,1371663,국립전통예술고등학교,서울특별시 금천구 시흥대로38길 62,http://kugak-am.sen.hs.kr
B10,1371664,국립전통예술중학교,서울특별시 금천구 시흥대로38길 62,http://kugak-am.sen.ms.kr
B10,7132128,국사봉중학교,서울특별시 동작구 양녕로20길 20,http://kuksabong.sen.ms.kr
B10,7021080,금성초등학교,서울특별시 중랑구 신내로21길 55,http://kumsung.net
B10,7010071,금옥여자고등학교,서울특별시 양천구 신정로 213,http://geumok.sen.hs.kr
B10,7081488,금옥중학교,서울특별시 양천구 신정로 213,http://geumok.sen.ms.kr
B10,7010072,금천고등학교,서울특별시 금천구 시흥대로38길 26,http://Geumcheon.sen.hs.kr
B10,7011317,금천문화예술정보학교,서울특별시 금천구 남부순환로126길 25,http://geumcheon.sen.sc.kr/
B10,7011319,금호고등학교,서울특별시 성동구 금호로 118,http://geumho.sen.hs.kr
B10,7061095,금호여자중학교,서울특별시 중구 청구로 6,http://kumho.sen.ms.kr
B10,7121357,길음중학교,서울특별시 성북구 길음로 144 ,http://gireum.sen.ms.kr
B10,7011096,꿈타래학교,서울특별시 관악구 신림로 67,http://dreamkey.sen.sc.kr/
B10,7041171,난곡중학교,서울특별시 금천구 문성로 67,http://nangok.sen.ms.kr
B10,7132129,난우중학교,서울특별시 관악구 난곡로16길 32,http://nanwoo.sen.ms.kr
B10,7010136,남강고등학교,서울특별시 관악구 난곡로34길 80,http://namkang.sen.hs.kr
B10,7132130,남강중학교,서울특별시 관악구 난곡로34길 80,http://namkang.sen.ms.kr
B10,7121360,남대문중학교,서울특별시 성북구 한천로 660-30,http://namdaemoon.sen.ms.kr
B10,7132131,남서울중학교,서울특별시 관악구 남부순환로172길 97,http://namseoul.sen.ms.kr
B10,7132132,남성중학교,서울특별시 동작구 남부순환로269길 166,http://namsung.sen.ms.kr
B10,7091486,내곡중학교,서울특별시 서초구 청계산로7길 9-20,https://naegok.sen.ms.kr
B10,7051176,노곡중학교,서울특별시 도봉구 노해로70길 95,http://nogok.sen.ms.kr
B10,7010564,노원고등학교,서울특별시 노원구 노원로 586,http://nowon.sen.hs.kr
B10,7051177,노원중학교,서울특별시 노원구 동일로213길 26,http://nowon.sen.ms.kr
B10,7051178,노일중학교,서울특별시 노원구 동일로231길 24,http://noil.sen.ms.kr
B10,7051179,녹천중학교,서울특별시 노원구 월계로 376,http://nokcheon.sen.ms.kr
B10,7011302,누리학교,서울특별시 동작구 상도로 53,http://nuri.sen.sc.kr
B10,7010589,누원고등학교,서울특별시 도봉구 마들로 849,http://noowon.sen.hs.kr
B10,7010459,다니엘학교,서울특별시 서초구 헌릉로468길 21-16,http://daniel.sen.sc.kr
B10,7011489,단국대학교부속소프트웨어고등학교,서울특별시 강남구 도곡로64길 21,http://dankook.sen.hs.kr
B10,7010137,단국대학교사범대학부속고등학교,서울특별시 강남구 도곡로64길 21,http://dan-kook.sen.hs.kr
B10,7091449,단국대학교사범대학부속중학교,서울특별시 강남구 도곡로64길 21,http://dankook.sen.ms.kr/
B10,7010073,당곡고등학교,서울특별시 관악구 봉천로21길 108,http://danggok.sen.hs.kr
B10,7132133,당곡중학교,서울특별시 관악구 봉천로13길 101,http://danggok.sen.ms.kr
B10,7041172,당산서중학교,서울특별시 영등포구 당산로41길 12,http://dangsanseo.sen.ms.kr
B10,7041173,당산중학교,서울특별시 영등포구 버드나루로 160,http://dangsan.sen.ms.kr
B10,7011507,대경생활과학고등학교,서울특별시 중구 매봉18길 111,http://daekyeong.sen.hs.kr
B10,7061096,대경중학교,서울특별시 중구 매봉18길 111,https://dk.sen.ms.kr
B10,7010138,대광고등학교,서울특별시 동대문구 안암로 6,http://dgh.sen.hs.kr
B10,7021124,대광중학교,서울특별시 동대문구 안암로 6,http://dgm.sen.ms.kr
B10,7121336,대광초등학교,서울특별시 성북구 안암로 5,http://daegwang.or.kr
B10,7010833,대동세무고등학교,서울특별시 종로구 계동길 84-10,http://daedong.sen.hs.kr
B10,7041174,대림중학교,서울특별시 영등포구 시흥대로185길 6,http://daerim.sen.ms.kr
B10,7091424,대명중학교,서울특별시 강남구 역삼로87길 26,http://daemyeong.sen.ms.kr
B10,7132134,대방중학교,서울특별시 동작구 여의대방로10길 24,http://daebang.sen.ms.kr
B10,7010139,대성고등학교,서울특별시 은평구 갈현로29길 51-24,http://dae-sung.sen.hs.kr
B10,7031182,대성중학교,서울특별시 은평구 갈현로29길 51-24,https://dsms.sen.ms.kr
B10,7010140,대신고등학교,서울특별시 종로구 사직로 9,http://dae-shin.sen.hs.kr/
B10,7061097,대신중학교,서울특별시 종로구 사직로 9,http://dae-shin.sen.ms.kr
B10,7010074,대영고등학교,서울특별시 영등포구 도림로86길 16,http://dy.sen.hs.kr
B10,7041175,대영중학교,서울특별시 영등포구 도림로80가길 14,http://daeyoung.sen.ms.kr
B10,7091425,대왕중학교,서울특별시 강남구 광평로20길 7,http://daewang.sen.ms.kr
B10,7010141,대원고등학교,서울특별시 광진구 용마산로22길 26,http://daewon.sen.hs.kr
B10,7134130,대원국제중학교,서울특별시 광진구 용마산로22길 26,http://daewon.sen.ms.kr
B10,7010142,대원여자고등학교,서울특별시 광진구 용마산로22길 26,http://dwg.sen.hs.kr
B10,7010143,대원외국어고등학교,서울특별시 광진구 용마산로22길 26,http://dwfl.sen.hs.kr/
B10,7010144,대일고등학교,서울특별시 강서구 등촌로 105,https://daeil.sen.hs.kr/index.do
B10,7011186,대일관광고등학교,서울특별시 양천구 신정이펜1로 11,http://daeil-tour.sen.hs.kr
B10,7010145,대일외국어고등학교,서울특별시 성북구 서경로 116,http://daeil.or.kr
B10,7010146,대진고등학교,서울특별시 노원구 공릉로62가길 47,http://dae-jin.sen.hs.kr
B10,7010740,대진디자인고등학교,서울특별시 강남구 광평로39길 93,http://daejindesign.sen.hs.kr
B10,7010147,대진여자고등학교,서울특별시 노원구 공릉로 438,http://daejinw.sen.hs.kr
B10,7091426,대청중학교,서울특별시 강남구 양재천로 321,http://daecheong.sen.ms.kr
B10,7091427,대치중학교,서울특별시 강남구 남부순환로378길 39,http://daechi.sen.ms.kr
B10,7031183,덕산중학교,서울특별시 은평구 가좌로 400,http://duksan.sen.ms.kr
B10,7010148,덕성여자고등학교,서울특별시 종로구 율곡로3길 50,http://duksung.sen.hs.kr
B10,7061098,덕성여자중학교,서울특별시 종로구 율곡로3길 49,http://duksung.sen.ms.kr
B10,7010808,덕수고등학교,서울특별시 송파구 위례북로 10,https://duksoo.sen.hs.kr/
B10,7061099,덕수중학교,서울 중구 마른내로9길 10,http://ducksu.sen.ms.kr
